metrics,25%,50%,75%,count,max,mean,min,std
avg_time_from_origin_bus_UNWEIGHTED_all,241.643743878184,273.252282041841,321.46523565861696,7201.0,716.4591599320531,287.7373165954045,186.393862106666,62.516603979866694
avg_time_from_origin_bus_UNWEIGHTED_birmingham,239.96185524428597,243.876423985141,246.827469261533,135.0,258.139642602902,243.65938262690517,229.132695412568,5.067426814522733
avg_time_from_origin_bus_UNWEIGHTED_blackpool,380.228084797799,382.422458107943,385.326735192251,19.0,391.144638887155,382.7987569415098,375.171318450895,4.61409809466761
avg_time_from_origin_bus_UNWEIGHTED_liverpool,327.89934980083626,331.6903183573735,335.7107430954758,72.0,343.668771299346,331.8211965160801,318.812678345508,5.578120017854975
avg_time_from_origin_bus_UNWEIGHTED_london,235.28151695144055,245.2431890774925,258.7685679272322,978.0,287.73095516724203,247.2922451323988,209.982256563992,15.547312703133642
avg_time_from_origin_bus_UNWEIGHTED_rural,243.97387380725925,286.536950970546,349.54424630105905,1326.0,716.4591599320531,303.29318066833,186.393862106666,78.78488743692363
avg_time_from_origin_bus_UNWEIGHTED_urban,241.34728996441498,271.208068878239,316.53589149403547,5875.0,558.300082901903,284.2263249765616,188.317259712055,57.64989432274194
avg_time_from_origin_car_UNWEIGHTED_all,107.624737219105,123.443393942939,143.197177845299,7201.0,451.015245206761,130.59102157343003,93.7562733576863,31.007921511497226
avg_time_from_origin_car_UNWEIGHTED_birmingham,97.05043692628462,97.5308433134078,98.41453219825405,135.0,101.48105224891701,97.76726982371227,95.38402659986829,1.1779158962934082
avg_time_from_origin_car_UNWEIGHTED_blackpool,154.883330873796,155.48299767906602,156.471093083102,19.0,158.51874176812902,155.67909438565061,152.94291900388902,1.3556654904242302
avg_time_from_origin_car_UNWEIGHTED_liverpool,134.304400536681,135.5372739288025,136.253835299829,72.0,137.384140341223,135.17583033245197,130.946354340744,1.4609647976827513
avg_time_from_origin_car_UNWEIGHTED_london,105.97367910771875,108.179348728967,111.719781009378,978.0,119.890936075821,109.03388009290084,102.67318432033599,3.793464366403626
avg_time_from_origin_car_UNWEIGHTED_rural,115.565101651764,136.5714707704835,163.548608054739,1326.0,451.015245206761,144.1312090431405,93.7562733576863,38.075118361133086
avg_time_from_origin_car_UNWEIGHTED_urban,106.87216849527002,120.718468195166,138.7094413794125,5875.0,287.76937491245604,127.53497245260705,94.0330524390085,28.298385477899938
avg_time_from_origin_rail_UNWEIGHTED_all,127.907208436509,147.594085684391,175.66506868475898,7201.0,437.66920397394796,157.36110997361945,101.793289397689,41.1686361626179
avg_time_from_origin_rail_UNWEIGHTED_birmingham,118.2783147778255,120.088243415395,122.52079568499602,135.0,128.175891254534,120.45838072381731,113.94418875704201,2.894583973884431
avg_time_from_origin_rail_UNWEIGHTED_blackpool,181.6877952171355,182.601005265601,184.68161405399852,19.0,193.76740692033798,183.72304958618963,179.457169178816,3.456415230235768
avg_time_from_origin_rail_UNWEIGHTED_liverpool,148.25456978358724,150.12033389055,152.12043163286825,72.0,157.200067099424,150.2649041353904,143.294681387037,2.9811121924074975
