,Area.of.residence,variable,value
379,E02002299,Area.of.workplace,E02000001
380,E02005107,Area.of.workplace,E02000001
381,E02002874,Area.of.workplace,E02000001
382,E02002627,Area.of.workplace,E02000001
383,E02006183,Area.of.workplace,E02000001
384,E02002357,Area.of.workplace,E02000001
385,E02000297,Area.of.workplace,E02000001
386,E02004443,Area.of.workplace,E02000001
387,E02006207,Area.of.workplace,E02000001
388,E02000381,Area.of.workplace,E02000001
389,E02003294,Area.of.workplace,E02000001
390,E02005053,Area.of.workplace,E02000001
391,E02003276,Area.of.workplace,E02000001
392,E02000889,Area.of.workplace,E02000001
393,E02001910,Area.of.workplace,E02000001
394,E02001949,Area.of.workplace,E02000001
395,E02000795,Area.of.workplace,E02000001
396,E02003246,Area.of.workplace,E02000001
397,E02001306,Area.of.workplace,E02000001
398,E02005204,Area.of.workplace,E02000001
399,E02006770,Area.of.workplace,E02000001
400,E02003066,Area.of.workplace,E02000001
401,E02001584,Area.of.workplace,E02000001
402,E02004697,Area.of.workplace,E02000001
403,E02005295,Area.of.workplace,E02000001
404,E02002997,Area.of.workplace,E02000001
405,E02000070,Area.of.workplace,E02000001
406,E02006742,Area.of.workplace,E02000001
407,E02004164,Area.of.workplace,E02000001
408,E02005730,Area.of.workplace,E02000001
409,E02000606,Area.of.workplace,E02000001
410,E02004574,Area.of.workplace,E02000001
411,E02005045,Area.of.workplace,E02000001
412,E02003894,Area.of.workplace,E02000001
413,E02006000,Area.of.workplace,E02000001
414,E02005185,Area.of.workplace,E02000001
415,E02000835,Area.of.workplace,E02000001
416,E02004708,Area.of.workplace,E02000001
417,E02004613,Area.of.workplace,E02000001
418,E02006391,Area.of.workplace,E02000001
419,E02003433,Area.of.workplace,E02000001
420,E02000078,Area.of.workplace,E02000001
421,E02006326,Area.of.workplace,E02000001
422,E02006658,Area.of.workplace,E02000001
423,E02002800,Area.of.workplace,E02000001
424,E02004828,Area.of.workplace,E02000001
425,E02005975,Area.of.workplace,E02000001
426,E02003917,Area.of.workplace,E02000001
427,E02006019,Area.of.workplace,E02000001
428,E02004350,Area.of.workplace,E02000001
429,E02005976,Area.of.workplace,E02000001
430,E02005041,Area.of.workplace,E02000001
431,E02003352,Area.of.workplace,E02000001
432,E02006760,Area.of.workplace,E02000001
433,E02000609,Area.of.workplace,E02000001
434,E02004601,Area.of.workplace,E02000001
435,E02001902,Area.of.workplace,E02000001
436,E02003507,Area.of.workplace,E02000001
437,E02003363,Area.of.workplace,E02000001
438,E02004848,Area.of.workplace,E02000001
439,E02000485,Area.of.workplace,E02000001
440,E02000983,Area.of.workplace,E02000001
441,E02005753,Area.of.workplace,E02000001
442,E02006515,Area.of.workplace,E02000001
443,E02004820,Area.of.workplace,E02000001
444,E02004709,Area.of.workplace,E02000001
445,E02003732,Area.of.workplace,E02000001
446,E02001811,Area.of.workplace,E02000001
447,E02000196,Area.of.workplace,E02000001
448,E02003620,Area.of.workplace,E02000001
449,E02003593,Area.of.workplace,E02000001
450,E02001358,Area.of.workplace,E02000001
451,E02000550,Area.of.workplace,E02000001
452,W02000302,Area.of.workplace,E02000001
453,E02004298,Area.of.workplace,E02000001
454,E02004487,Area.of.workplace,E02000001
455,E02006791,Area.of.workplace,E02000001
456,E02002993,Area.of.workplace,E02000001
457,E02001209,Area.of.workplace,E02000001
458,E02004407,Area.of.workplace,E02000001
459,W02000127,Area.of.workplace,E02000001
460,E02005794,Area.of.workplace,E02000001
461,E02000187,Area.of.workplace,E02000001
462,W02000378,Area.of.workplace,E02000001
463,E02006924,Area.of.workplace,E02000001
464,E02003161,Area.of.workplace,E02000001
465,E02006843,Area.of.workplace,E02000001
466,E02001586,Area.of.workplace,E02000001
467,E02006330,Area.of.workplace,E02000001
468,E02002107,Area.of.workplace,E02000001
469,E02006697,Area.of.workplace,E02000001
470,E02004448,Area.of.workplace,E02000001
471,E02006887,Area.of.workplace,E02000001
472,E02003773,Area.of.workplace,E02000001
473,E02006143,Area.of.workplace,E02000001
474,E02003899,Area.of.workplace,E02000001
475,E02005551,Area.of.workplace,E02000001
476,E02000621,Area.of.workplace,E02000001
477,E02003454,Area.of.workplace,E02000001
478,W02000345,Area.of.workplace,E02000001
479,E02003682,Area.of.workplace,E02000001
480,E02004073,Area.of.workplace,E02000001
481,E02005238,Area.of.workplace,E02000001
482,E02006570,Area.of.workplace,E02000001
483,E02002057,Area.of.workplace,E02000001
484,E02000542,Area.of.workplace,E02000001
485,E02004345,Area.of.workplace,E02000001
486,E02001521,Area.of.workplace,E02000001
487,E02005070,Area.of.workplace,E02000001
488,E02003653,Area.of.workplace,E02000001
489,E02003080,Area.of.workplace,E02000001
490,E02004685,Area.of.workplace,E02000001
491,E02000683,Area.of.workplace,E02000001
492,E02001302,Area.of.workplace,E02000001
493,E02000105,Area.of.workplace,E02000001
494,E02000362,Area.of.workplace,E02000001
495,E02003332,Area.of.workplace,E02000001
496,E02003900,Area.of.workplace,E02000001
497,E02003763,Area.of.workplace,E02000001
498,E02003748,Area.of.workplace,E02000001
499,E02006199,Area.of.workplace,E02000001
500,E02001849,Area.of.workplace,E02000001
501,E02006031,Area.of.workplace,E02000001
502,E02004748,Area.of.workplace,E02000001
503,E02000646,Area.of.workplace,E02000001
504,E02003415,Area.of.workplace,E02000001
505,E02005068,Area.of.workplace,E02000001
506,E02006902,Area.of.workplace,E02000001
507,E02001898,Area.of.workplace,E02000001
508,E02006295,Area.of.workplace,E02000001
509,E02000827,Area.of.workplace,E02000001
510,E02005394,Area.of.workplace,E02000001
511,E02003713,Area.of.workplace,E02000001
512,E02000958,Area.of.workplace,E02000001
513,E02003443,Area.of.workplace,E02000001
514,E02003513,Area.of.workplace,E02000001
515,E02003878,Area.of.workplace,E02000001
516,E02005726,Area.of.workplace,E02000001
517,E02000655,Area.of.workplace,E02000001
518,E02004163,Area.of.workplace,E02000001
519,E02002817,Area.of.workplace,E02000001
520,E02001565,Area.of.workplace,E02000001
521,E02000231,Area.of.workplace,E02000001
522,E02005424,Area.of.workplace,E02000001
523,E02004045,Area.of.workplace,E02000001
524,E02000197,Area.of.workplace,E02000001
525,E02003687,Area.of.workplace,E02000001
526,E02004922,Area.of.workplace,E02000001
527,E02002021,Area.of.workplace,E02000001
528,E02002922,Area.of.workplace,E02000001
529,E02006626,Area.of.workplace,E02000001
530,E02002928,Area.of.workplace,E02000001
531,E02005683,Area.of.workplace,E02000001
532,E02002356,Area.of.workplace,E02000001
533,E02001354,Area.of.workplace,E02000001
534,E02003590,Area.of.workplace,E02000001
535,E02002348,Area.of.workplace,E02000001
536,E02003490,Area.of.workplace,E02000001
537,E02002087,Area.of.workplace,E02000001
538,E02002219,Area.of.workplace,E02000001
539,E02001663,Area.of.workplace,E02000001
540,E02005025,Area.of.workplace,E02000001
541,E02000352,Area.of.workplace,E02000001
542,W02000343,Area.of.workplace,E02000001
543,E02005052,Area.of.workplace,E02000001
544,E02000200,Area.of.workplace,E02000001
545,E02001035,Area.of.workplace,E02000001
546,E02000234,Area.of.workplace,E02000001
547,E02006672,Area.of.workplace,E02000001
548,E02000332,Area.of.workplace,E02000001
549,E02004264,Area.of.workplace,E02000001
550,E02006317,Area.of.workplace,E02000001
551,E02001869,Area.of.workplace,E02000001
552,E02000846,Area.of.workplace,E02000001
553,E02003099,Area.of.workplace,E02000001
554,E02001374,Area.of.workplace,E02000001
555,E02001401,Area.of.workplace,E02000001
556,E02001791,Area.of.workplace,E02000001
557,E02005565,Area.of.workplace,E02000001
558,E02003800,Area.of.workplace,E02000001
559,E02004954,Area.of.workplace,E02000001
560,E02004478,Area.of.workplace,E02000001
561,E02006099,Area.of.workplace,E02000001
562,E02000031,Area.of.workplace,E02000001
563,E02005860,Area.of.workplace,E02000001
564,E02005462,Area.of.workplace,E02000001
565,E02006585,Area.of.workplace,E02000001
566,E02000672,Area.of.workplace,E02000001
567,E02003793,Area.of.workplace,E02000001
568,E02004247,Area.of.workplace,E02000001
569,E02005847,Area.of.workplace,E02000001
570,E02002247,Area.of.workplace,E02000001
571,E02001962,Area.of.workplace,E02000001
572,E02000148,Area.of.workplace,E02000001
573,E02000082,Area.of.workplace,E02000001
574,E02005650,Area.of.workplace,E02000001
575,E02005001,Area.of.workplace,E02000001
576,E02005955,Area.of.workplace,E02000001
577,W02000272,Area.of.workplace,E02000001
578,E02003570,Area.of.workplace,E02000001
579,E02000792,Area.of.workplace,E02000001
580,E02001459,Area.of.workplace,E02000001
581,E02002734,Area.of.workplace,E02000001
582,E02000931,Area.of.workplace,E02000001
583,E02001502,Area.of.workplace,E02000001
584,E02000554,Area.of.workplace,E02000001
585,E02005060,Area.of.workplace,E02000001
586,E02003329,Area.of.workplace,E02000001
587,E02004128,Area.of.workplace,E02000001
588,E02003697,Area.of.workplace,E02000001
589,E02001484,Area.of.workplace,E02000001
590,E02004068,Area.of.workplace,E02000001
591,E02006283,Area.of.workplace,E02000001
592,E02006523,Area.of.workplace,E02000001
593,E02006926,Area.of.workplace,E02000001
594,E02000267,Area.of.workplace,E02000001
595,E02000852,Area.of.workplace,E02000001
596,E02006725,Area.of.workplace,E02000001
597,E02000014,Area.of.workplace,E02000001
598,E02002162,Area.of.workplace,E02000001
599,E02006112,Area.of.workplace,E02000001
600,E02005533,Area.of.workplace,E02000001
601,E02003359,Area.of.workplace,E02000001
602,E02006633,Area.of.workplace,E02000001
603,E02005639,Area.of.workplace,E02000001
604,E02004834,Area.of.workplace,E02000001
605,E02002711,Area.of.workplace,E02000001
606,E02003533,Area.of.workplace,E02000001
607,E02003054,Area.of.workplace,E02000001
608,E02004434,Area.of.workplace,E02000001
609,E02000073,Area.of.workplace,E02000001
610,E02002096,Area.of.workplace,E02000001
611,E02002311,Area.of.workplace,E02000001
612,E02005680,Area.of.workplace,E02000001
613,E02004967,Area.of.workplace,E02000001
614,E02005581,Area.of.workplace,E02000001
615,E02006477,Area.of.workplace,E02000001
616,E02003311,Area.of.workplace,E02000001
617,E02006313,Area.of.workplace,E02000001
618,E02006583,Area.of.workplace,E02000001
619,E02000021,Area.of.workplace,E02000001
620,E02000007,Area.of.workplace,E02000001
621,E02001050,Area.of.workplace,E02000001
622,E02001527,Area.of.workplace,E02000001
623,E02003955,Area.of.workplace,E02000001
624,E02005296,Area.of.workplace,E02000001
625,E02006290,Area.of.workplace,E02000001
626,E02000017,Area.of.workplace,E02000001
627,E02000513,Area.of.workplace,E02000001
628,E02003178,Area.of.workplace,E02000001
629,E02003354,Area.of.workplace,E02000001
630,E02004785,Area.of.workplace,E02000001
631,E02001369,Area.of.workplace,E02000001
632,E02002420,Area.of.workplace,E02000001
633,E02001786,Area.of.workplace,E02000001
634,W02000250,Area.of.workplace,E02000001
635,E02003000,Area.of.workplace,E02000001
636,E02006349,Area.of.workplace,E02000001
637,E02000384,Area.of.workplace,E02000001
638,E02003949,Area.of.workplace,E02000001
639,E02003071,Area.of.workplace,E02000001
640,E02000044,Area.of.workplace,E02000001
641,E02006051,Area.of.workplace,E02000001
642,E02003912,Area.of.workplace,E02000001
643,E02005610,Area.of.workplace,E02000001
644,E02001761,Area.of.workplace,E02000001
645,E02003322,Area.of.workplace,E02000001
646,E02005935,Area.of.workplace,E02000001
647,E02002844,Area.of.workplace,E02000001
648,E02001497,Area.of.workplace,E02000001
649,E02005724,Area.of.workplace,E02000001
650,E02005903,Area.of.workplace,E02000001
651,E02005274,Area.of.workplace,E02000001
652,E02005308,Area.of.workplace,E02000001
653,E02006648,Area.of.workplace,E02000001
654,E02001043,Area.of.workplace,E02000001
655,E02003821,Area.of.workplace,E02000001
656,E02000112,Area.of.workplace,E02000001
657,E02004986,Area.of.workplace,E02000001
658,E02000758,Area.of.workplace,E02000001
659,E02005663,Area.of.workplace,E02000001
660,E02004373,Area.of.workplace,E02000001
661,E02003701,Area.of.workplace,E02000001
662,E02003879,Area.of.workplace,E02000001
