,MSOA code,Net annual income (£),Sex: All persons; Economic Activity: Economically active: Unemployed; measures: Value,Pop_Per_Hectare,percent_at_or_above_qual_level_4
481,E02002580,24800.0,9.2,20.4,10.8
482,E02002581,28200.0,4.0,5.2,19.8
483,E02002582,39700.0,2.6,4.1,33.8
484,E02002583,25000.0,8.0,14.1,10.6
485,E02002584,28000.0,4.9,47.4,14.2
486,E02002585,28200.0,6.4,14.7,18.2
487,E02002586,24700.0,7.8,41.2,8.8
488,E02002587,27700.0,6.8,32.5,13.0
489,E02002588,25600.0,7.4,37.1,9.1
490,E02002589,35200.0,2.7,15.7,24.9
491,E02002590,37200.0,3.0,3.3,34.9
492,E02002591,32500.0,3.1,4.0,32.9
493,E02002592,33300.0,3.3,3.5,25.0
494,E02002593,33100.0,3.5,11.3,29.6
495,E02002594,32900.0,5.2,14.3,24.6
496,E02002595,27200.0,7.9,29.7,10.1
497,E02002596,32900.0,3.4,29.5,25.9
498,E02002597,26600.0,7.4,57.3,10.9
499,E02002598,40600.0,2.5,17.2,38.8
500,E02002599,37500.0,3.3,32.8,35.6
501,E02002600,28100.0,5.2,48.2,14.2
502,E02002601,31100.0,2.9,30.6,21.4
503,E02002602,28500.0,7.8,31.3,14.8
504,E02002603,32100.0,2.7,7.6,23.7
505,E02002604,33500.0,2.4,43.6,29.6
506,E02002605,31900.0,3.8,38.8,22.0
507,E02002606,29200.0,5.7,43.1,19.6
508,E02002607,29100.0,5.1,18.2,19.8
509,E02002608,30500.0,2.8,6.1,24.8
510,E02002609,26600.0,6.5,38.8,16.5
511,E02002610,37000.0,2.4,7.5,45.6
512,E02002611,35800.0,2.3,27.4,36.1
513,E02002612,34300.0,2.4,38.6,39.5
514,E02002613,43800.0,2.3,2.5,41.6
515,E02002614,54200.0,2.0,9.1,50.5
516,E02003965,26400.0,2.7,0.9,19.0
517,E02003966,32800.0,1.9,0.2,32.9
518,E02003967,28500.0,2.9,0.5,21.0
519,E02003968,27700.0,4.1,4.2,18.9
520,E02003969,24600.0,6.3,4.0,9.5
521,E02003970,34500.0,2.1,1.0,38.9
522,E02003971,35200.0,2.8,0.4,37.3
523,E02003972,27300.0,4.0,5.0,18.9
524,E02003973,25500.0,6.3,21.9,9.5
525,E02003974,26300.0,4.6,22.9,13.1
526,E02003975,28700.0,3.2,2.5,23.6
527,E02003976,33300.0,2.3,0.3,33.8
528,E02003977,30000.0,3.0,2.3,22.7
529,E02003978,28700.0,3.6,9.5,20.1
530,E02003979,32800.0,2.0,11.4,29.1
531,E02003980,24100.0,7.2,11.3,11.5
532,E02003981,32800.0,3.4,44.4,24.2
533,E02003982,30900.0,3.3,5.8,24.1
534,E02003983,26800.0,6.2,60.5,12.2
535,E02003984,23600.0,8.2,61.5,11.2
536,E02003985,28600.0,3.8,11.0,16.1
537,E02003986,27900.0,5.7,6.3,16.9
538,E02003987,26900.0,2.8,0.2,18.8
539,E02003988,28500.0,3.6,0.3,27.7
540,E02003989,30200.0,2.4,18.0,27.3
541,E02003990,32100.0,2.2,2.9,32.0
542,E02003991,31900.0,2.2,1.3,23.0
