,MSOA,yj_Bus_stops,yj_Train_stations,yj_metro_stations,yj_HH_owning_cars_perc,yj_work_from_home_perc,yj_underground_metro_perc,yj_train_perc,yj_bus_perc,yj_taxi_perc,yj_motorcycle_perc,yj_bicycle_perc,yj_on_foot_perc,yj_other_perc,yj_avg_time_from_origin_car_UNWEIGHTED,yj_avg_time_car,yj_avg_time_from_origin_bus_UNWEIGHTED,yj_avg_time_bus,yj_avg_time_from_origin_rail_UNWEIGHTED,yj_avg_time_rail,yj_car_perc
2953,E02003034,0.3748379269902206,0.0,0.0,0.18561122844563918,0.6563596332859227,0.2029280834372802,0.5284710112873309,0.576603357619212,0.46735221739251476,0.5373756863587441,0.9168423428830982,0.901907204386027,0.6429267446540697,0.0,0.5761743016026468,0.0,0.5472478953669291,0.0,0.4301004805159659,0.08347430724445164
2954,E02003036,0.5405013169867181,0.9522470750944435,0.0,0.20499778107752134,0.6046195298821335,0.2287377595360109,0.5431567713581779,0.5549368781167843,0.5503261479662968,0.2980739745644866,0.8605314798997608,0.9558977714100221,0.5537987899306608,0.0,0.6861374955785688,0.0,0.5740787430226306,0.0,0.5601224581881084,0.06934196594059938
2955,E02003037,0.40730684378604237,0.9522470750944435,0.0,0.4592976121193401,0.6992791065926862,0.2752478083574934,0.5495878938586022,0.4871537806236815,0.22583380207950968,0.4880529705015043,0.7956173777285613,0.9279964564451875,0.6141699291933908,0.0,0.7278422705898295,0.0,0.586249883566166,0.0,0.6144878313431614,0.12242041547385328
2956,E02003038,0.36298561265879004,0.0,0.0,0.4957838723788158,0.5303910211004033,0.0,0.1069271540942193,0.6187015794218214,0.3822203393753915,0.8626163208220267,0.7153434032938788,0.6034694064617874,0.4284730277903319,0.0,0.4784648274693728,0.0,0.5419558178179535,0.0,0.0,0.5433260418354516
2957,E02003039,0.3969469307994186,0.0,0.0,0.4145192449222368,0.5006360638320253,0.07513350500236754,0.2739504934941875,0.6681345112238011,0.5061880663836488,0.7082046911067633,0.7621206740805432,0.6059742404918345,0.27912626835290766,0.0,0.4075820420191114,0.0,0.55728930188583,0.0,0.607332747945123,0.4908132106564908
2958,E02003040,0.4268420170169122,0.0,0.0,0.3133682382715928,0.42659232962493676,0.16073727910119032,0.5477442819209554,0.7038754728799853,0.4481088807443552,0.6255617986540899,0.8527482183158893,0.7579266974279155,0.5424875259167776,0.0,0.48674462439901944,0.0,0.46053188516248555,0.0,0.3836628028262311,0.26273569504817135
2959,E02003041,0.40730684378604237,0.0,0.0,0.5429461147108834,0.763295478700946,0.39453923599583907,0.4557264304113164,0.46073729063312713,0.1473078627518157,0.42475714148765353,0.8071518910294512,0.9212415298165599,0.5769093430797518,0.0,0.7325835886709449,0.0,0.6190715829043114,0.0,0.5885504364103319,0.12253124808655198
2960,E02003043,0.7949429737599194,0.0,0.0,0.17388826008916147,0.6432366136539758,0.3674021048906909,0.5653621975437131,0.5752371601606654,0.3422523487495241,0.3257764264933566,0.764665320468318,0.9815461589768666,0.6667334085170918,0.0,0.7542527881050427,0.0,0.4955359012644829,0.0,0.6342307029277764,0.050207634619758114
2961,E02003044,0.25664873331487126,0.0,0.0,0.7157349163608088,0.5275323958025686,0.16346128697516715,0.19912079229269644,0.5659876459444919,0.2500647440432677,0.7351675682524546,0.7236830426109558,0.5032426977496867,0.5721334261311863,0.0,0.45653015191493296,0.0,0.6044816110478091,0.0,0.5587657778097004,0.6482939965660651
2962,E02003045,0.21307881380500515,0.0,0.0,0.3832791049084544,0.7515101597933211,0.3069709617132967,0.5182155824654606,0.5035658198487181,0.43183973850019275,0.44630668980521604,0.8362177788352039,0.929068963000119,0.5692833444012501,0.0,0.694767937332708,0.0,0.6122006710916628,0.0,0.5781989996806758,0.09237522996236582
2963,E02003046,0.5277402698835121,0.0,0.0,0.5574782964222653,0.49164751178623045,0.08067118627933706,0.3578308784131214,0.622712331687816,0.2691959933113438,0.7025265409737248,0.8011320336359822,0.710215961232149,0.57721772492887,0.0,0.4150105342779842,0.0,0.5022156245455713,0.0,0.577833809655224,0.4152353357217229
2964,E02003047,0.46201381095783023,0.0,0.0,0.41885722352971133,0.583283061767607,0.22968388930040337,0.5386478710998714,0.4468281647099526,0.3284270482827846,0.4772310334419909,0.899354539405049,0.8913121419197543,0.6016531930984143,0.0,0.565728978385593,0.0,0.5272821087764665,0.0,0.5519839619653457,0.15279378881887373
2965,E02003048,0.3748379269902206,0.0,0.0,0.3704175797188457,0.5995372359384874,0.2885170907166846,0.6328415359959476,0.5808222879678585,0.30508472110454166,0.5742003232706904,0.8599489437179234,0.8806208787012768,0.476420907193967,0.0,0.553429930097904,0.0,0.5376071521443255,0.0,0.5538350587323283,0.14353318508416593
2966,E02003049,0.5527342489573647,0.0,0.0,0.5419103203370715,0.5527056858408794,0.0,0.1808124138872938,0.6783897557148498,0.32953083198710253,0.7582374822507846,0.7401084409167008,0.6292208340184171,0.5337617928737631,0.0,0.482213541516221,0.0,0.4887548933395318,0.0,0.0,0.4631335022769146
2967,E02003050,0.5527342489573647,0.9522470750944435,0.0,0.2606574775183055,0.4664269917840407,0.2031749660971936,0.5407913107854498,0.6277657455361594,0.3059956938997014,0.4776345007803696,0.8238889553609713,0.9025218494354386,0.5223561344197757,0.0,0.5007204644838312,0.0,0.49722697896532386,0.0,0.38260136974218995,0.15604918492316613
