origin_msoacode,avg_time_from_origin_bus_UNWEIGHTED,"Bus, minibus or coach",cumulative_time_bus,avg_time_bus
E02000249,304.4648762,634,19457.37255,30.68986207
E02000250,311.9341332,158,4117.284234,26.05876098
E02000251,306.0864041,655,22496.96251,34.34650764
E02000252,301.4087578,491,13639.04295,27.77809154
E02000253,309.2316466,666,19626.8833,29.46979474
E02000254,304.3234156,762,26919.44292,35.32735292
E02000255,308.6923767,377,9746.540557,25.85289272
E02000256,307.9294322,284,7691.174442,27.08160015
E02000257,307.788572,414,10859.29751,26.23018722
E02000258,303.3580671,294,8245.421805,28.0456524
E02000259,308.6428104,345,10243.59031,29.69156611
E02000260,301.034041,842,26458.53397,31.42343702
E02000261,297.2410811,786,20585.64818,26.19039209
E02000262,302.2917654,641,16391.53092,25.57181111
E02000263,303.2389506,1190,40344.54645,33.90298021
E02000264,302.4249085,269,6185.350294,22.99386726
E02000265,306.9426356,641,16006.22117,24.97070385
E02000266,307.8519292,877,35360.14478,40.31943532
E02000267,303.692531,426,10751.00887,25.23711001
E02000268,308.674735,291,8439.024647,29.0000847
E02000269,307.3599008,255,7770.346308,30.47194631
E02000270,301.8094224,435,11726.04093,26.95641593
E02000271,298.7199941,301,7856.886103,26.10261164
E02000272,305.2282605,242,6949.708822,28.71780505
E02000274,306.3272455,1304,44147.75538,33.85564063
E02000275,306.4083377,464,15389.20825,33.16639709
E02000276,309.1200204,256,7618.320305,29.75906369
E02000277,330.3732087,341,11576.49683,33.94867104
E02000278,330.5024886,449,12780.12083,28.46352077
E02000279,338.506147,530,20715.59139,39.08602148
E02000280,326.0274871,275,7450.061284,27.09113194
E02000281,327.1193247,429,11350.4447,26.45791305
E02000282,327.95049,619,18006.15323,29.08910054
E02000283,331.8020475,401,13363.28092,33.32489009
E02000284,324.2366492,283,6165.188129,21.78511706
E02000285,323.5158047,169,3851.086314,22.78749298
E02000286,321.1285747,214,4996.630138,23.34873896
E02000287,321.3203148,94,2938.519221,31.26084278
E02000288,330.2288115,737,21566.3047,29.26228588
E02000289,325.9440459,158,4359.252374,27.5902049
E02000290,327.8779512,462,13411.84127,29.02995946
E02000291,324.5296303,418,11570.53169,27.68069782
E02000292,327.6491916,464,13836.3067,29.81962651
E02000293,324.7920137,142,4619.258983,32.52999284
E02000294,331.2863414,585,18879.35226,32.27239703
E02000295,325.7800273,196,5396.384528,27.53257412
E02000296,320.913205,381,10542.90761,27.67167351
E02000297,328.4302368,303,8484.063076,28.00020817
E02000298,326.982165,174,5020.470322,28.85327771
E02000299,328.6149388,763,26065.09989,34.16133668
E02000300,325.6136347,591,16723.17949,28.296412
E02000301,327.6699566,819,26300.01072,32.1123452
E02000302,323.4325356,407,12154.87605,29.86456032
E02000303,326.0958558,556,15513.51556,27.9020064
E02000304,318.6071604,165,4367.342018,26.4687395
E02000305,320.1915061,405,11287.54267,27.87047573
E02000306,327.1310346,771,24199.64453,31.38734699
E02000307,322.0773893,571,15146.84357,26.52687141
E02000308,315.2742454,376,9820.533085,26.11843906
E02000309,323.0892368,908,29594.64176,32.5932178
E02000311,321.724575,646,18412.94159,28.50300556
