"AtcoCode","CommonName","CommonNameLang","ShortName","ShortCommonNameLang","Landmark","LandmarkLang","Street","StreetLang","Crossing","CrossingLang","Indicator","IndicatorLang","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"1000DSRD7579","The Victoria Inn","en","","","The Victoria Inn","en","Recreation Drive","en","","","adj","en","2009-06-30T00:00:00","2010-02-03T00:00:00","","new"
"1000DSRR6492","Post Office","en","","","Post Office","en","Ripley Road","en","","","Opp","en","2008-07-15T00:00:00","2009-06-30T00:00:00","","new"
"1000DSS00347","William Nadins Way","en","","","William Nadins Way","en","Sainsburys","en","","","adj","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSS01903","Community School and Science College","en","","","Community School and Science College","en","Bus Park","en","","","adj","en","2007-03-09T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSA5230","Sudbury Avenue","en","","","Sudbury Avenue","en","Spencer Avenue","en","","","Opp","en","2007-02-27T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSA7348","Anchor Point","en","","","Anchor Point","en","Sheffield Road","en","","","opp","en","2006-11-29T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSC6883","Ralph Drive","en","","","Ralph Drive","en","Springfield Crescent","en","","","adj","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSD6886","Park Side","en","","","Park Side","en","Spencer Drive","en","","","adj","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSL2672","Blacksmiths Arms","en","","","Prince of Wales","en","Sheffield Road","en","","","Opp","en","2009-12-31T00:00:00","2009-12-31T00:00:00","","new"
"1000DSSL2906","Old Post Office","en","","","Old Post Office","en","Spital Lane","en","","","opp","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSL2906","Valley Road","en","","","Valley Road","en","Spital Lane","en","","","opp","en","2006-11-29T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSL2963","Old Post Office","en","","","Old Post Office","en","Spital Lane","en","","","adj","en","2006-11-29T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSL2963","Valley Road","en","","","Valley Road","en","Spital Lane","en","","","adj","en","2008-07-03T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSL3470","Dinting Vale","en","","","Dinting Vale","en","Simmondley Lane","en","","","opp","en","2006-12-15T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSL6961","Leabrooks Road","en","","","Leabrooks Road","en","Sleetmoor Lane","en","","","adj","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSL6996","St Leonards Drive","en","","","St Leonards Drive","en","Spital Lane","en","","","adj","en","2008-07-03T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSL6997","St Leonards Drive","en","","","St Leonards Drive","en","Spital Lane","en","","","opp","en","2008-07-03T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSN7533","Netherfield Road","en","","","Netherfield Road","en","Somersall Lane","en","","","adj","en","2008-04-16T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSO7349","Anchor Point","en","","","Anchor Point","en","Sheffield Road","en","","","adj","en","2006-11-29T00:00:00","2010-01-08T00:00:00","","new"
"1000DSSR2885","Straw Lane","en","","","Straw Lane","en","Main Road","en","","","adj","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSR2885","Top Farm","en","","","Top Farm","en","Main Road","en","","","Adj","en","2007-01-23T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSR2886","Straw Lane","en","","","Straw Lane","en","Main Road","en","","","Opp","en","2007-01-23T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSR2886","Top Farm","en","","","Top Farm","en","Main Road","en","","","Opp","en","2007-01-23T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSR2887","White Bear","en","","","White Bear PH","en","Main Road","en","","","adj","en","2006-06-26T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSR2888","Smith Street","en","","","Smith Street","en","Main Road","en","","","opp","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSR2888","White Bear","en","","","White Bear","en","Main Road","en","","","opp","en","2006-06-26T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSR4700","Newhall Road","en","","","Newhall Road","en","Springfield Road","en","","","opp","en","2007-01-05T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSR4701","Newhall Road","en","","","Newhall Road","en","Springfield Road","en","","","adj","en","2007-01-05T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSR5055","Church Lane","en","","","Church Lane","en","A514","en","","","Opp","en","2006-11-23T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSR5099","Glenn Way","en","","","Glenn Way","en","London Road","en","","","adj","en","2006-06-26T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSR5099","Post Office","en","","","Post Office","en","London Road","en","","","opp","en","2006-12-06T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSR5229","Elm Avenue","en","","","Elm Avenue","en","Stanton Road","en","","","opp","en","2007-02-27T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSR5229","Spencer Avenue","en","","","Spencer Avenue","en","Stanton Road","en","","","adj","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSR5232","Norbury Way","en","","","Norbury Way","en","Stanton Road","en","","","Adj","en","2007-02-27T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSR5246","Bradley Street","en","","","Bradley Street","en","Station Road","en","","","opp","en","2007-02-27T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSR5247","Bridge Street","en","","","Bridge Street","en","Station Road","en","","","opp","en","2008-07-02T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSR5774","Morley Lane","en","","","Morley Lane","en","Station Road","en","","","Adj","en","2006-12-01T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSR5775","Morley Lane","en","","","Morley Lane","en","Station Road","en","","","Opp","en","2006-12-01T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSR5776","New Street","en","","","New Street","en","Station Road","en","","","Opp","en","2006-12-01T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSR5777","New Street","en","","","New Street","en","Station Road","en","","","Adj","en","2006-12-01T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSR5780","Cat and Fiddle Lane","en","","","Cat and Fiddle Lane","en","Station Road","en","","","opp","en","2006-12-29T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSR5781","Cat and Fiddle Lane","en","","","Cat and Fiddle Lane","en","Station Road","en","","","adj","en","2006-12-29T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSR5782","Works","en","","","Works","en","Station Road","en","","","Adj","en","2006-12-01T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSR5783","Works","en","","","Works","en","Station Road","en","","","Opp","en","2006-12-01T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSR7567","Shirebrook Rail Station","en","","","","","","","","","","","2008-10-13T00:00:00","2008-10-13T00:00:00","","new"
"1000DSSR7569","Langwith Road","en","","","Langwith Road","en","Station Road","en","","","opp","en","2007-01-15T00:00:00","2009-06-30T00:00:00","","new"
"1000DSSS6892","Haston Drive","en","","","Haston Drive","en","Stanley Street","en","","","opp","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DST06889","Somercotes - Beauchief Gardens","en","","","Beauchief Gardens","en","Thurston Avenue","en","","","opp","en","2008-07-03T00:00:00","2008-07-03T00:00:00","","new"
"1000DSTD4305","Hayes Lane","en","","","Hayes Lane","en","The Delves","en","","","opp","en","2007-01-11T00:00:00","2009-06-30T00:00:00","","new"
"1000DSTD4306","Hayes Lane","en","","","Hayes Lane","en","The Delves","en","","","adj","en","2007-01-11T00:00:00","2009-06-30T00:00:00","","new"
"1000DSTD4307","Broadway","en","","","Broadway","en","The Delves","en","","","adj","en","2010-01-19T00:00:00","2010-01-19T00:00:00","","new"
"1000DSTD4307","Crays Hill","en","","","Delves Farm","en","Crays Hill","en","","","E-bound","en","2006-06-26T00:00:00","2009-06-30T00:00:00","","new"
"1000DSTD4308","Broadway","en","","","Broadway","en","The Delves","en","","","opp","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSTD4308","Crays Hill","en","","","Delves Farm","en","Crays Hill","en","","","W-bound","en","2007-01-11T00:00:00","2009-06-30T00:00:00","","new"
"1000DSTG4303","Broadway","en","","","Broadway","en","The Green","en","","","adj","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSTG4304","Broadway","en","","","Broadway","en","The Green","en","","","opp","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSTR1422","Lock Lane","en","","","Lock Lane","en","Tamworth Road","en","","","opp","en","2007-01-11T00:00:00","2009-06-30T00:00:00","","new"
"1000DSTR1865","Lock Lane","en","","","Lock Lane","en","Tamwoth Road","en","","","adj","en","2007-01-11T00:00:00","2009-06-30T00:00:00","","new"
"1000DSTR2220","Fairfield Crescent","en","","","Fairfield Crescent","en","Tamworth Road","en","","","adj","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSTR2220","Nags Head","en","","","Nags Head","en","Tamworth Road","en","","","adj","en","2006-12-07T00:00:00","2009-06-30T00:00:00","","new"
"1000DSTR2221","Nags Head","en","","","Nags Head","en","Tamworth Road","en","","","opp","en","2006-12-07T00:00:00","2009-06-30T00:00:00","","new"
"1000DSTR2221","Wilne Road","en","","","Wilne Road","en","Tamworth Road","en","","","opp","en","2007-01-11T00:00:00","2009-06-30T00:00:00","","new"
"1000DSTR3612","Victoria Street","en","","","Victoria Street","en","Tamworth Road","en","","","adj","en","2006-12-07T00:00:00","2009-06-30T00:00:00","","new"
