"AtcoCode","OperatorRef","NationalCoachCode","Name","NameLang","LongName","LongNameLang","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"5130ACX17022","","900011302C","Golden Gate","","Golden Gate","","U","296724","379336","2000-01-01T00:00:00","2006-09-06T00:00:00",0,"new"
"5130AWA17170","","900011302A","Madeleys Caraven Park","","Madeleys Caraven Park","","U","296714","379238","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5130AWA17173","","900011391C","Bryn Road","","Bryn Road","","U","297582","379541","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5130AWA17177","","900011313C","Community Centre","","Community Centre","","U","298908","380414","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5130AWD70303","","900011251A","Station","","Station","","U","279449","377940","2000-01-01T00:00:00","2016-05-03T20:37:42",3,"rev"
"5130AWD70304","","900011251C","Station","","Station","","U","279527","377906","2000-01-01T00:00:00","2015-10-05T08:59:33",1,"rev"
"5130AWD70330","","900011242A","Kwiks","","Kwiks","","U","284778","379050","2000-01-01T00:00:00","2016-05-03T20:50:04",1,"rev"
"5130AWD71208","","900011241","Coach Park","","Coach Park","","U","278783","382075","2000-01-01T00:00:00","2008-12-16T00:00:00",0,"new"
"5130AWD72284","","900011231A","Ship Hotel","","Ship Hotel","","U","283360","380532","2000-01-01T00:00:00","2016-05-03T21:20:05",1,"rev"
"5130AWD72285","","900011231C","Ship Hotel","","Ship Hotel","","U","283361","380586","2000-01-01T00:00:00","2016-05-03T21:20:24",1,"rev"
"5130AWF80090","","900011313A","Crossroads","","Crossroads","","U","298865","380406","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5130AWF80094","","900011391A","Seagull Inn","","Seagull Inn","","U","297490","379497","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5130AWF80103","","900011301C","Post Office","","Post Office","","U","294813","378654","2000-01-01T00:00:00","2016-05-03T21:46:44",1,"rev"
"5130AWF80104","","900011301A","Station","","Station","","U","294637","378615","2000-01-01T00:00:00","2016-05-03T21:47:03",2,"rev"
"5130AWP26582","","900011291A","Post Office Q","","Post Office Q","","U","282203","381204","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5130AWQ26435","","900011242C","County Court","","County Court","","U","284795","379014","2000-01-01T00:00:00","2008-12-16T00:00:00",0,"new"
"5130AWQ26443","","900011291C","Post Office","","Post Office","","U","282163","381246","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5140AWD70623","","900012310C","Kandy Lodge","","Kandy Lodge","","U","330364","343918","2000-01-01T00:00:00","2007-02-07T00:00:00",0,"new"
"5140AWD70628","","900012312","Bus Station","","Bus Station","","U","333307","350524","2000-01-01T00:00:00","2006-11-22T00:00:00",0,"new"
"5140AWD71969","","900012061A","Alma Road","","Alma Road","","U","327132","341246","2000-01-01T00:00:00","2007-10-09T00:00:00",0,"new"
"5140AWD72484","","900011201A","New Inn","","New Inn","","U","330097","346310","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5140AWF80270","","900012013C","Clinic","","Clinic","","U","328765","343564","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5140AWF80543","","900012031A","St Mary`s Church","","St Mary`s Church","","U","329096","337653","2000-01-01T00:00:00","2006-05-17T00:00:00",0,"new"
"5140AWF80544","","900012031C","Hand Hotel","","Hand Hotel","","U","329045","337785","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5140AWQ26486","","900012310A","Wynnstay Arms Hotel","","Wynnstay Arms Hotel","","U","330357","343873","2000-01-01T00:00:00","2005-05-09T00:00:00",0,"new"
"5140WDB46481","","900012061C","Crossroads Stores","","Crossroads Stores","","U","327246","341193","2000-01-01T00:00:00","2006-09-21T00:00:00",0,"new"
"5140WRX02054","","900012013A","Clinic","","Clinic","","U","328767","343578","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5140WRX02128","","900011201C","New Inn","","New Inn","","U","330108","346309","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5210AWC50978","","900014765","Bus Station","","Bus Station","","U","195504","215886","2000-01-01T00:00:00","2015-11-25T19:28:22",2,"rev"
"5210AWC51230","","900014725A","Steynton Farm","","Steynton Farm","","U","191733","207827","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5210AWC51242","","900014745A","Honeyborough Green","","Honeyborough Green","","U","196017","205993","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5210AWC51242","","900014745C","Honeyborough Green","","Honeyborough Green","","U","196017","205993","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5210AWC51249","","900014775","Railway Hotel","","Railway Hotel","","U","193264","210559","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5210AWC51249","","900014775A","Railway Hotel","","Railway Hotel","","U","193264","210559","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5210AWC51250","","900014775C","Railway Hotel","","Railway Hotel","","U","193259","210575","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5210AWC51493","","900014665","Tesco","","Tesco","","U","197377","203595","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5210AWC51515","","900014655A","Somerfield","","Somerfield","","U","198378","201512","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5210AWC51520","","900014655C","Castle","","Castle","","U","198266","201547","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5210AWC52040","","900014635","Upper Park Road 1","","Upper Park Road 1","","U","213190","200438","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5210AWC52561","","900014685","Community Centre","","Community Centre","","U","212236","207165","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5210WDB23172","","900014725C","Steynton Farm","","Steynton Farm","","U","191719","207835","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5220AWC52524","","900014001A","Black Lion","","Black Lion","","U","228128","216442","2000-01-01T00:00:00","2007-09-18T00:00:00",0,"new"
"5220AWC52525","","900014001C","Chemist","","Chemist","","U","227992","216400","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5220AWK65860","","900014035","Bus Station","","Bus Station","","U","241124","219962","2000-01-01T00:00:00","2015-11-02T17:08:58",2,"rev"
"5220CMX16731","","900014045A","Library","","Library","","U","256181","212736","2000-01-01T00:00:00","2016-04-26T17:55:56",1,"rev"
"5220CMX16732","","900014045C","Library","","Library","","U","256175","212748","2000-01-01T00:00:00","2016-04-26T18:11:34",1,"rev"
"5220WDB25149","","900014202","Bus Station","","Bus Station","","U","250999","200431","2000-01-01T00:00:00","2015-10-02T15:50:20",1,"rev"
"5230AWD71087","","900012123","University Campus Penglais","","University Campus Penglais","","U","259598","281984","2000-01-01T00:00:00","2013-04-24T00:00:00",0,"new"
"5230AWD71092","","900012183","Bus Station","","Bus Station","","U","258545","281645","2000-01-01T00:00:00","2012-10-01T00:00:00",0,"new"
"5230AWD71648","","900012104A","Penllwyn PO","","Penllwyn PO","","U","265193","280354","2000-01-01T00:00:00","2016-05-03T18:20:14",1,"rev"
"5230CGX16192","","900012104C","Penllwyn PO","","Penllwyn PO","","U","265193","280347","2000-01-01T00:00:00","2016-05-03T18:38:25",1,"rev"
"5230WDB48326","","900012173C","George Borrow Hotel","","George Borrow Hotel","","U","274663","280566","2012-10-05T12:03:47","2012-10-05T00:00:00",0,"new"
"5230WDB48327","","900012173A","George Borrow Hotel","","George Borrow Hotel","","U","274655","280568","2012-10-05T12:05:47","2012-10-05T00:00:00",0,"new"
"5310AWB30328","","900015255","Queensway Q1","","Queensway Q1","","U","330886","188269","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5320AWB32809","","900015445","Inner Bypass","","Inner Bypass","","U","316849","209717","2000-01-01T00:00:00","2007-09-24T00:00:00",0,"new"
"5320AWB32972","","900015435","Bus Station","","Bus Station","","U","319134","211637","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5320AWL26204","","900015475","Lidl","","Lidl","","U","314104","209350","2000-01-01T00:00:00","2016-03-15T20:05:51",1,"rev"
"5330AWB31203","","900015165","Bus Station","","Bus Station","","U","350481","212633","2000-01-01T00:00:00","2007-07-26T00:00:00",0,"new"
"5330AWB32097","","900015345","Bus Station","","Bus Station","","U","353193","193759","2000-01-01T00:00:00","2015-11-25T18:29:45",2,"rev"
"5330AWB32289","","900015175","Bus Station","","Bus Station","","U","330135","213973","2000-01-01T00:00:00","2015-11-25T17:46:59",2,"rev"
"5340AWB30069","","900015440M","Trussel Road","","Trussel Road","","U","329610","195863","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5340AWB30740","","900015430","Town Hall","","Town Hall","","U","328312","200750","2000-01-01T00:00:00","2015-11-25T21:21:06",2,"rev"
"5400AWD70195","","900011571","Bus Station","","Bus Station","","U","248029","362757","2000-01-01T00:00:00","2016-02-10T20:48:16",2,"rev"
"5400AWD70234","","900011581A","Povey's Garage","","Povey's Garage","","U","247081","352920","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5400AWD70264","","900012631A","Tesco","","Tesco","","U","256660","338987","2000-01-01T00:00:00","2016-06-01T18:27:06",1,"rev"
"5400AWD71107","","900012651A","High Street","","High Street","","U","250002","338143","2000-01-01T00:00:00","2016-06-01T18:54:42",2,"rev"
"5400AWD71108","","900012651C","High Street","","High Street","","U","250010","338151","2000-01-01T00:00:00","2016-06-01T18:53:57",2,"rev"
"5400AWD71142","","900012612C","Brynbachau","","Brynbachau","","U","242832","336793","2000-01-01T00:00:00","2016-06-01T18:55:08",2,"rev"
"5400AWP26371","","900012612A","Brynbachau","","Brynbachau","","U","242744","336780","2000-01-01T00:00:00","2016-06-01T21:33:20",2,"rev"
"5400AWP26382","","900012611","Market Square","","Market Square","","U","256196","340132","2000-01-01T00:00:00","2016-06-01T21:33:49",3,"rev"
"5400AWP26384","","900012631C","Sportsman","","Sportsman","","U","256679","338910","2000-01-01T00:00:00","2016-06-01T21:34:09",1,"rev"
"5400CWX02024","","900011621","Bus Station","","Bus Station","","U","258151","372269","2000-01-01T00:00:00","2016-03-01T19:47:23",2,"rev"
"5400GYX17099","","900012641","Bus Station","","Bus Station","","U","237419","334957","2000-01-01T00:00:00","2016-03-01T20:06:06",2,"rev"
"5400GYX17467","","900011581C","Povey`s Garage","","Povey`s Garage","","U","247073","352921","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5410AWD70527","","900011171","Port","","Port","","U","224903","382290","2000-01-01T00:00:00","2007-08-21T00:00:00",0,"new"
"5510AWA13122","","900014425","Sarn Odeon","","Sarn Odeon","","U","290968","182641","2000-01-01T00:00:00","2013-08-15T00:00:00",0,"new"
"5520AWA13900","","900014101","Bus Station","","Bus Station","","U","300470","202600","2000-01-01T00:00:00","2015-11-25T19:47:36",2,"rev"
"5530AWB33896","","900014105","Bus Station","","Bus Station","","U","304810","206128","2000-01-01T00:00:00","2015-11-17T21:57:34",2,"rev"
"5610AWE90065","","900012593A","Criggion Lane","","Criggion Lane","","U","327837","311367","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5610AWE90066","","900012593C","Trewern Bus Shelter","","Trewern Bus Shelter","","U","327782","311296","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5610AWE90068","","900012592C","Breidden Hotel","","Breidden Hotel","","U","330179","312522","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5610AWE90069","","900012592A","Breidden Hotel","","Breidden Hotel","","U","330180","312514","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5610AWE90126","","900012733C","Post Office","","Post Office","","U","302528","288396","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5610AWE90127","","900012733A","Bus Shelter","","Bus Shelter","","U","302519","288452","2000-01-01T00:00:00","2007-07-13T00:00:00",0,"new"
"5610AWE90158","","900012563","Bus Station","","Bus Station","","U","310690","291628","2000-01-01T00:00:00","2015-10-06T09:38:00",1,"rev"
"5610AWE90201","","900012753","The Groe","","The Groe","","U","295310","284433","2000-01-01T00:00:00","2010-07-07T00:00:00",0,"new"
"5610AWE90212","","900012523A","Nag`s Head Hotel","","Nag`s Head Hotel","","U","319397","299006","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
"5610AWE90213","","900012523C","Nag`s Head Hotel","","Nag`s Head Hotel","","U","319394","298984","2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new"
