,MSOA,yj_HH_owning_cars_perc,yj_work_from_home_perc,yj_underground_metro_perc,yj_train_perc,yj_bus_perc,yj_bicycle_perc,yj_on_foot_perc,yj_avg_time_car,yj_avg_time_bus,yj_avg_time_rail,yj_car_perc,label
5115,E02005231,-0.9099408647532836,-0.895971414436907,-0.5957101095324562,-0.4930100851326989,0.18372120504623304,1.1366483637701723,1.4179587777433516,-0.4127124712554249,-1.6644093022337871,1.594538459828791,-0.2943704023356512,0
5116,E02005233,-0.2956084613310408,-0.33250152239700864,-0.4843920077751077,-0.2548567236228207,-0.11491587402603,1.3887413027283262,1.5570559178554306,0.4178458368050342,-1.0981073748725685,0.5805860818600198,-0.5298811910692273,0
5117,E02005234,-1.295358409477093,0.5169031608099524,-0.584491713528343,0.4688736834058175,0.8068540539672552,1.198775534578504,2.0698574527927778,1.2394551456944212,-1.3850038005134957,0.12750868615756697,-1.5476981863805928,0
5118,E02005235,-0.6433773242403726,-0.4452365150676402,-0.5665239994554065,0.2864898964962207,0.3782021061497628,1.0227735496302723,2.1156073696474063,1.1835445981168418,0.5106992853872746,1.667002497282539,-1.238836309334759,1
5119,E02005236,0.43898228578828574,0.06988509695620995,-0.8752278912314738,-0.9221119591199124,0.052988798290728285,0.5421344057011063,-0.6643987594062475,0.11017299620443516,-0.6964493222650561,0.8031094203477415,1.0276588748254598,0
5120,E02005237,-0.20374243443581289,-0.04986558788108782,-0.5067732377414957,0.4797977001745824,0.06810555876189621,1.502504372484336,1.560311258488427,0.353907604773644,-0.3757542068326593,1.1529848487322307,-0.7835057116770021,0
5121,E02005238,-0.1825512194458216,-0.4466180308924596,-0.7131674104743027,-0.7868120552437163,0.5775311960168367,1.0794761685376513,1.2049644615770143,-0.1439477268876767,-1.0589160424902182,-1.5662520002723166,-0.25073157988911043,0
5122,E02005239,1.2153881349518674,1.3825508129180537,-0.2616712616877611,-0.5926658772150087,0.4263313851168374,0.4318676483216141,0.5045188653937499,1.4775092649838373,0.9697941855644884,1.4950542857358768,-0.3259512291342107,1
5123,E02005240,0.05754023323257965,-0.5696493876129418,-1.0259000767823399,-0.9924672324960674,-0.40113950957033,0.08256226532616531,1.2730150263634354,1.054826237775874,-0.031214641954567312,-1.984118923731628,0.4116037795212368,0
5124,E02005241,-0.10215214043766463,-0.29782261791744224,-1.0259000767823399,-1.697038453469632,-0.3691714837527103,-0.2857734583992601,1.3818614357012091,1.1200783206099647,-0.6484481520090574,-1.984118923731628,0.2922828094963869,0
5125,E02005242,0.5133607302936605,0.11866628216130075,-1.0259000767823399,-0.8210275421538828,0.1637434851342864,-0.44841183000084056,0.3568459145078068,0.7883902964023841,0.2601860447067709,-1.984118923731628,0.7025781469493146,0
5126,E02005243,-0.8735394376383547,-1.3115972621324048,-0.8409862624925202,-1.2172632511670174,0.30320053857563845,-0.4350191279543648,0.9818162143151308,-0.9485896706809609,-1.7407005859573923,1.7918208301669862,0.564872020919623,0
5127,E02005244,-0.5361247031379237,-0.5266864008621577,-0.8517217104476622,-1.127474956987606,0.07706114676847546,-0.4837120128800381,1.0277227246359872,-1.0725441493563368,-0.9456895074880391,0.5829692499133874,0.4612724294216914,0
5128,E02005245,1.0410779638011185,0.624052775525553,-0.9076605914975292,-1.0975815833398372,-0.4665603096348479,-0.7645516200704043,-1.324428420993336,0.10189225198967336,0.0015812274622247961,1.9442933771167852,1.4739436682834277,1
5129,E02005246,-0.8824721617207956,-0.0979785327244408,-0.8407654120981103,-1.1220596868319117,0.29744560405065035,-0.3510117028469697,1.101802979402517,-0.7395603080128288,-0.9873731962502796,-0.007218982797033148,0.12432506164029372,0
5130,E02005247,1.0241965766683052,0.5892166863166443,-0.8549866236409429,-1.3741699635950488,-1.2377824707287195,-0.9850824748828708,-0.4702429054937282,-0.20407108183334333,0.3983090945770357,1.723265003713516,1.5422645263274681,1
5131,E02005248,-1.335367479254422,-0.4339807636226734,-0.4733113013909728,-0.9448932941681422,0.42534121130296426,-0.2354134673030509,1.5328105298537458,-0.8264285277528903,0.1218888713409832,1.720737435166583,-0.3992656999751968,0
5132,E02005249,-1.3752710355808666,-1.1542537273235758,-0.7772063595820351,-1.2821710230018917,0.5125383222535442,-0.18595613987351398,1.6165818369964384,-0.7893382006232896,-1.022915484821952,-1.984118923731628,-0.35062503230791514,0
5133,E02005250,-0.8371562534244351,-0.3542584069582135,-0.6965633310934577,-0.5907634874602458,0.4284351009626615,-1.2063230367618811,1.2461186769441672,-0.7415690635466026,-0.16445809989445007,0.3750212340458714,-0.12065094228414132,0
5134,E02005251,0.17050971136064647,-0.6831557247715676,-0.4797893809626908,-1.0714087854452317,-0.3166790840767664,-1.3601191842972835,0.575047806497543,0.24951190490452885,-1.0771471063884428,1.069088417143968,1.0726538515276491,0
5135,E02005252,-0.12324410339102032,0.04502756071620834,-0.7717015988913909,-1.067959082214764,0.4582823005227688,-1.6194487097378614,-0.2990610276480193,-0.729141549803333,-1.1252178307014018,1.7023473146007126,0.9243718379451226,0
5136,E02005253,1.5958372347866232,1.3582244585108558,-0.8812507596974476,-1.35215744194446,-0.8135581517147024,-0.33919527156434626,-1.816077236423901,0.7067523952673032,-0.18384073738482776,-0.7853610000967316,1.1298012779082391,0
5137,E02005254,1.702253381764984,1.3662557635910249,-0.7672487571078481,-1.1488625120203055,-0.7230316951864589,0.09889541846628437,-1.9704734758652618,0.3118843324264928,-1.3646476055939938,1.4737522334236182,1.032062954991537,1
5138,E02005255,0.865025376410509,-0.4192668629919,-0.6518895366269318,-0.9797655879527588,0.4839842961919722,0.32261309645984537,0.5778848291839466,-0.6468495406190891,-1.0946084895750845,1.0513794480419432,0.5083015087708911,0
5139,E02005256,0.8255593089669283,-0.4153570520297515,-0.2762957499988941,-1.0167680333796076,0.10254492793560034,-0.21994857332201664,0.021526971180140374,-0.002843924693413725,-1.2579946872780885,0.448727699452829,1.1207173612908832,0
5140,E02005257,-1.037361027272876,-0.9363728110111088,-1.0259000767823399,-0.9366429738610268,1.4252025083893032,-0.012303280618607394,-0.6082609289440339,-1.084064803189516,-0.7182206042026025,-1.984118923731628,0.2064149016251579,0
5141,E02005258,0.3269864753345739,0.2230076808366858,-0.9049541059385882,-0.557499922783474,0.5625273729640865,0.3228008354165444,0.38757612356649895,-0.7824089445239275,-2.2707286882908466,1.4369439393513384,0.2678605693712021,0
5142,E02005259,-0.7789658209264247,-1.0081859622177467,-1.0259000767823399,-1.2649288546385,1.1882723459066813,0.4463400384389244,0.5141780175184183,-1.1271997389291852,-1.4561903799778273,-1.984118923731628,0.02990410602808973,0
5143,E02005260,0.5371572285530196,-0.6282516912667624,-1.0259000767823399,-1.2628343745701245,0.7278391001622067,0.8342053406893921,-0.21426041047605016,-1.4616267675538117,-0.7235756341013516,-1.984118923731628,0.6693730666320928,0
5144,E02005261,-1.2911111583489157,-1.229318578142363,-1.0259000767823399,-1.0655141937079078,1.394339014178163,0.6904693603593778,0.3005477239571975,-1.6270636141842556,-0.632425917237643,-1.984118923731628,-0.08417888221080391,0
5145,E02005262,0.9285717940312248,-0.2164508052553742,-0.6798233291044217,-0.6763530532482542,0.26951935496885765,-0.006091555155953182,-0.8785376530603882,-0.639292799693718,-0.5027623895343173,0.08365805281612511,1.2031459467329662,0
5146,E02005263,-1.1568403917877794,-1.1990593424073654,-0.744734358832884,-0.3332529440030759,1.0260356060668532,0.1850928058858177,1.6387820785622549,-0.4348469817411617,-0.6676918573651336,0.10357223899739183,-0.7356137352924952,0
5147,E02005264,-0.8313610937735801,-1.7028401888833358,-0.2636549875317495,-0.06489651200268927,1.0359555292135092,0.1298348670276117,1.5394966655625812,-0.2883486917424113,-0.9059974374048936,-0.366538815117922,-0.5962347321818261,0
5148,E02005265,-0.4496542898345201,-0.8185452703685939,-1.0259000767823399,-0.9019309034614241,1.0401968181278956,0.15904612350572736,0.30523287862571713,-0.8962270589956299,-0.3556428861527537,-1.984118923731628,0.2711046313548906,0
5149,E02005266,-1.5978990263332946,-0.909578548629964,-0.8784528430239613,-1.1070246672158452,1.3985570467759418,0.06398715064400518,1.0477522696195507,-1.7626788920205516,-1.339204069282204,1.4529329027763795,-0.5647278174835416,0
5150,E02005267,-1.8205597177484367,-1.2096853303719917,-0.4925048990315614,0.0608754415340449,1.2566089864821304,0.06545412362314769,2.0070735650106664,0.9799826431812064,0.07124765128341948,-0.10316420296490833,-1.3448041476643229,0
5151,E02005268,-1.1332648657580728,-0.7174751728318781,-0.5805857614578295,-0.7664587684265797,1.3110131051970952,0.04725242045196379,0.9745388524253656,-1.2283707913287896,-1.6181333353121496,0.6658904483123946,-0.4489487897423536,0
5152,E02005269,-1.681901128045422,-0.7896555288634918,-0.8365052909632041,0.5424768244080357,0.9697283464382002,0.2759482053635388,2.0884131015595844,-0.11426376770550555,-0.7529465634292439,0.7692700282278444,-1.3614305554597703,0
5153,E02005270,1.523014755192361,2.09827974350664,-0.6921532614567192,-1.0409204770494147,-1.7009739439778944,-1.4822837301104237,-1.3862407392130234,0.9217188940427592,0.7281641065965864,1.4498119264535765,0.2625171093031957,1
5154,E02005271,0.3998318301561055,0.33878966131620697,-0.9068126692253546,-0.5364571445240189,-1.1863536626034092,0.4187864529018784,1.4720564308112554,0.16418261847131418,0.4753876125599365,-0.9892617157303554,-0.006411712283329424,0
5155,E02005272,-0.2360003793182449,-0.3406731212423317,-0.4650623376594332,-0.6605513112946793,-0.914581484615268,0.1684221515953053,1.3821023432715238,-0.23190340100745835,-0.6317974518016568,1.3686632786660604,0.2537084083393604,0
5156,E02005273,1.0993805150868492,1.2707698888603716,-0.510031659300514,-1.2335835544539586,-0.8284416479297985,-0.9764286970902352,-0.10187143882077812,1.265462703852931,0.7631665892103886,1.9287815755260105,0.7265671834790746,1
5157,E02005274,1.2455442265708554,1.0492216939259524,-0.6606240747523049,-1.2032762702986826,-0.8097761827601061,-0.5235006522732024,-1.1005307359200585,-0.12256189229307578,0.5393567464632656,1.2146751871141452,1.2190185270721048,1
5158,E02005275,0.4432898438306468,-0.0998350786454407,-1.0259000767823399,-1.5255813443236017,-0.3332804351495056,-0.7093527144467404,1.0196688870548394,0.41467596555587616,0.5202732305251512,-1.984118923731628,0.6816564195560544,0
5159,E02005276,1.2896642706351906,1.0560785668214012,-0.4586204599878456,-0.4316754450998476,-1.2160570846967906,-1.2821219113991158,-1.1684121614780103,0.553794098663711,-0.9191016851437892,1.4987542151213884,1.296992997386205,1
5160,E02005277,1.4413380236745743,1.137437157077963,-0.6458567681002851,-0.5439575630386121,-1.1060992432297785,-1.0260052242282112,-1.8077664585044568,0.6675444858627413,0.0925985825588239,1.2451017178785249,1.3740246513558723,1
5161,E02005278,0.9810964718252632,0.4506436989023677,-0.5547149847016551,-1.4533102739509032,-0.11096386944370908,-1.4509164219738129,-1.1078697693311537,0.5838336408555991,0.26458571942714754,0.901923540368506,1.4529953158447566,1
5162,E02005279,-0.2718424768394885,0.4990740012893226,-0.8351066087012836,-1.5285641116826905,0.05983998289013823,-1.3427814688765374,0.4149442623456319,0.0719877567279534,0.2487127102609503,0.3594191999500205,0.6765977001939417,0
