,MSOA,yj_Bus_stops,yj_Train_stations,yj_metro_stations,yj_HH_owning_cars_perc,yj_work_from_home_perc,yj_underground_metro_perc,yj_train_perc,yj_bus_perc,yj_taxi_perc,yj_motorcycle_perc,yj_bicycle_perc,yj_on_foot_perc,yj_other_perc,yj_avg_time_car,yj_avg_time_bus,yj_avg_time_rail,yj_car_perc,label
2073,E02002132,-0.09741745945377643,-0.5795372077311381,-0.2832984747187976,-0.9051362000646804,-1.5564087473529815,-0.1779677128631765,-1.1626708473429657,1.086979361051506,0.8264720354819547,0.37290776933849695,0.18023137083355467,0.2017384277102016,-2.166111533113618,-2.6879874224383697,-0.7130829855940364,-0.8490357947779722,0.4165643551385096,0
2074,E02002133,0.06523494131578073,-0.5795372077311381,-0.2832984747187976,-0.8405911462873308,-0.05708471921932561,-0.7310095003692925,0.3446247075488632,0.8216440149003934,0.9764964471935356,-1.5133821455448349,-0.4801818433491378,1.0153620488718658,-0.7958152189839178,-0.8775958780985422,-0.5109825592457482,-0.6468819718173013,-0.2773835008246414,0
2075,E02002134,0.1681773033550762,-0.5795372077311381,-0.2832984747187976,-0.7075484812766297,-1.7978869779885358,0.8140583235084411,-0.99096606968179,0.8269290750817182,0.9667862095392484,0.7919578591198391,0.5284290011776751,0.7146268536313164,0.13291485685064378,-1.529059519076018,0.12460383272714685,-0.7442928088600177,0.21548051940384896,0
2076,E02002135,0.6719609059123933,-0.5795372077311381,-0.2832984747187976,-1.1937363592336048,-0.8326098893666722,-0.41358549564288255,-0.3513337850753312,0.9481826018988364,1.5370552643592257,-1.48074231839536,-0.514499289020688,1.4643854220603496,1.4923540693483914,-1.7484656026540424,-0.5032936125222055,-0.8161817346713396,-0.5334348571471464,0
2077,E02002136,-0.04202883957606324,-0.5795372077311381,-0.2832984747187976,-0.6450892471871168,-0.7445409228680655,1.2399993736604658,-0.6834726243265921,0.8392783984787693,1.1553309265586411,-0.08914127329170109,-0.34323419730641563,0.22898016725347234,-0.7193137566883615,-1.095707235611874,-0.40531310769710505,-0.5291540617814857,0.3671651062699117,0
2078,E02002137,-0.15405877384404618,-0.5795372077311381,-0.2832984747187976,1.075981893401213,0.6749746229315776,-0.19687868434076986,-0.3989322762616676,0.22508379388928906,-1.3115237063968368,-0.824797092164499,-1.670210393061691,-1.7529725601543822,-1.7509074614201432,-0.0363066617558722,0.6706678978202794,0.09928387612578893,1.1855889963641406,1
2079,E02002138,0.4090174071479253,-0.5795372077311381,-0.2832984747187976,0.2367353428755951,0.3036560397982146,-0.3368996713146987,-0.17140530810583746,0.6559318489924717,1.1597851062798032,-2.455699803217134,-1.055168431359964,0.19998108369683493,0.9265018423106758,-0.5297717120084882,0.2780920157617469,0.8803071385628221,0.33034157623623794,0
2080,E02002139,1.1330314728616242,1.7057637046951224,-0.2832984747187976,-1.6069870858764013,-0.014716858995479962,-0.2082013042618933,0.16768619131389226,1.3589554385939906,0.9915227242196212,-0.7443078544883995,-0.3531517327269812,1.1635928096497707,1.3176841621872133,-0.9249279137347362,0.028313560393177388,-0.022951505337116856,-0.8300200616407869,0
2081,E02002140,0.012169424768495531,-0.5795372077311381,-0.2832984747187976,-1.1692952615514325,-0.6115633870427637,0.5372096627571104,-0.053523306314565734,1.1723406851102944,1.3087795383470202,0.03320056742636735,-0.5471538614920444,0.7781677739736552,0.12872447160238115,-1.960432267026404,0.125174607916675,-0.04612234624380295,-0.27994655244109257,0
2082,E02002141,-0.27137585426983285,-0.5795372077311381,-0.2832984747187976,1.3165655771763465,-0.09153924033641768,-0.4495209246074531,-0.6743806115463323,0.3502396845709598,-0.8355692312559652,-1.0361389051350611,-2.077526756009471,-2.1292422145612533,-1.3995225514767953,-0.33702833072966715,0.2705046715575463,0.25563678156808506,1.6061594307826168,1
