,MSOA,Bus_stops,Train_stations,metro_stations,HH_owning_cars_perc,work_from_home_perc,underground_metro_perc,train_perc,bus_perc,bicycle_perc,on_foot_perc,avg_time_from_origin_car_UNWEIGHTED,avg_time_car,avg_time_from_origin_bus_UNWEIGHTED,avg_time_bus,avg_time_from_origin_rail_UNWEIGHTED,avg_time_rail,car_perc,label
2870,E02002951,0.1575967541845323,0.0,0.0,0.08505786026828349,-2.1312637652013096,-10.100211946915312,-1.7618046568151475,0.3438384121099191,-1.611202800613415,-2.3276539069866757,-7.013289234922134,-1.3975906757300176,0.7671955429824314,-0.6836890793848417,-3.0072002784127965,-7.299566227054989,0.4987355277183492,3
2871,E02002952,-0.660471144916719,0.0,0.0,-0.4816836012363841,-3.0488772357801364,-8.926881645951386,-1.9211747164266184,0.89850460600713,-1.067291679694622,0.4985787021556648,-7.276590076292697,-1.686580283988625,0.7483085878301328,-0.19598475937938534,-3.435563040770905,2.9164081338006778,0.3013528422690771,3
2872,E02002953,-0.5479839261235909,0.0,0.0,-0.5623024492486511,-2.5382299600323655,8.865014729197242,-2.5610291356617663,1.0766237244663874,-0.5779988715464425,-0.3158890076428574,-7.021642046032657,-1.814431614770019,0.7984439456780908,-1.389648910507748,-3.239918512349693,-12.474503326908696,0.3046674777017321,0
2873,E02002954,0.3225469433792621,0.0,0.0,-0.5072846271587945,-2.3036042937660954,-9.609274966491457,-2.36659731967973,1.2198122771154225,-1.0036663108599269,-1.5030849281164165,-6.4787364690341365,-0.6800023011112516,0.4172664192516569,-0.6206645549381372,-2.9083087464733333,3.0136256697765926,0.35730789447028466,3
2874,E02002955,-0.14323281419453526,0.0,0.0,-1.2724287759282704,-1.9564463671146148,-8.522645435521992,-1.4008365577406436,1.3959180819853894,-0.4690252449873812,1.6470722336289645,-7.484416098679119,-1.9791828878457525,0.7551264061657985,-0.4928679377992736,-3.5830557877448133,3.135468903386624,0.03216307089503825,3
2875,E02002956,0.3971121046705459,0.0,0.0,-0.5995302611878482,-1.9599395924523555,8.865014729197242,-2.2545206144443832,1.2272173004522462,-0.09583627612100956,0.8420008134622893,-7.317393174407959,-2.32580502985238,0.7815817265841049,-0.054442231093855584,-3.316807967100357,-12.474503326908696,0.1487231950147601,0
2876,E02002957,0.2151800037717979,0.0,0.0,0.3792519525747027,-0.4904634877436497,-7.930430775399422,-1.6931735678432862,-0.6702552052117895,-1.3537002477465487,-2.480990687375089,-7.029428713525706,-1.1427018979126593,0.04107925790739037,-0.8891335173462271,-3.08803134261908,3.118898346468697,0.5231728664365747,3
2877,E02002958,-0.14323281419453526,0.0,0.0,-0.5540021921450183,-3.553189909571712,-6.303502683106966,-2.0696049222807766,1.1185421673768663,-0.2431892631108309,-0.07943859537732675,-7.5914946131789005,-1.5857065987249819,0.6169135231470577,-0.6258496625254466,-3.6466136955859287,0.9826327361839527,0.3107960901396205,3
2878,E02002959,0.1575967541845323,0.0,0.0,-1.234353190937669,-1.7621247502733228,8.865014729197242,-0.9859487347056466,0.9551814054579916,-0.16512352280166392,1.979326498934136,-7.530157458043691,-2.4154688121258863,0.8283166241510334,-1.3713492654041817,-3.8262348756292486,-12.474503326908696,0.009639346112974343,0
2879,E02002960,-1.2633590402461727,0.0,0.0,0.011898752870952637,-2.775268668388606,-8.79857688776132,-1.590356800141718,0.3697082841797164,-0.4337814783525016,-0.07235404519134002,-7.626565207929963,-2.7094789053384067,0.4891622733206294,-0.3219415039887402,-3.6977389911097656,2.995501179328868,0.3656692965964094,3
2880,E02002961,-0.2633590402461731,0.0,0.0,-1.4005468855289154,-2.1194791338518044,8.865014729197242,-1.6208419326702854,1.2112527679454277,-0.14754442029917442,2.06555874344139,-7.7958146391787455,-2.254050987794914,0.4659837662698205,-0.04757591679413092,-3.952555526384948,-12.474503326908696,-0.030808370164040186,0
2881,E02002962,0.2966069431192224,0.0,0.0,-1.2836873151348178,-2.5642791600528443,-8.032678731623736,-2.387847168582015,2.23187642954989,-0.09785366395426542,0.3761300306854487,-7.769652505020257,-1.5731017072463755,0.1083274591888705,-0.8482231209848958,-3.49120439520316,2.813028848096229,0.059228991033771015,3
