,MSOA,work_from_home_perc,underground_metro_perc,train_perc,bus_perc,motorcycle_perc,bicycle_perc,on_foot_perc,other_perc,car_perc,label
40,E02000042,0.5263485274890121,0.9405122221030112,0.5867761185031624,0.7715893619500807,0.7067934695138742,0.4927327313977035,0.4718896709630699,0.4832671954928963,0.6770826327006925,1
41,E02000043,0.618900478012367,0.9519916635931494,0.5690362485908501,0.6261916733556692,0.7287009761701291,0.4758350822393811,0.31750520807565763,0.4619132610682691,0.7187821165802357,1
42,E02000044,0.43823806847849983,0.8733615533798271,0.7833303462643334,0.8056529710387479,0.6906646047060406,0.3908558212609684,0.3757698701995595,0.5293146258771486,0.7598883643231741,1
43,E02000045,0.4990246113370712,0.8820721611618176,0.6614124851704186,0.8714536196284766,0.7979983736048855,0.5705982840256469,0.3366105501094775,0.5164198457388569,0.7139720653120385,1
44,E02000046,0.5437067141360371,0.9659865024050741,0.5944488985480916,0.7274880056442821,0.7954628556953297,0.4770576201447799,0.3706406837014755,0.5016087247954354,0.6300797955200758,1
45,E02000047,0.4095808060490673,0.9093177688777024,0.6676590969382064,0.832223924124081,0.6699949143505379,0.3679284542018878,0.4125328144278536,0.4875610526673501,0.7339338287115484,1
46,E02000048,0.6384806182339018,0.9038657380793836,0.6555191643515677,0.6724278912424198,0.7161436224841979,0.3838340828404677,0.2549172949504448,0.5087090336925505,0.7951162253707331,1
47,E02000049,0.3728440793360549,0.8938635389830911,0.6928050323389117,0.8577031003694169,0.6783691657177198,0.32954943828465944,0.4136759592311823,0.6057355434216001,0.7336903001608723,1
48,E02000050,0.46559010173189297,0.934211502724216,0.58097894242662,0.7682076780952579,0.7564562938591232,0.5378548208130043,0.4356685298408179,0.4765820616600575,0.7147695487009387,1
49,E02000051,0.7040628547270293,0.9214407694529064,0.585266449762572,0.7371028881076228,0.7124682113336653,0.4654364999140461,0.3327282653310102,0.5483540563064435,0.7145195269719553,1
