"","MSOA","Bus_stops","Train_stations","metro_stations","HH_owning_cars_perc","work_from_home_perc","underground_metro_perc","train_perc","bus_perc","taxi_perc","motorcycle_perc","bicycle_perc","on_foot_perc","other_perc","avg_time_from_origin_car_UNWEIGHTED","avg_time_car","avg_time_from_origin_bus_UNWEIGHTED","avg_time_bus","avg_time_from_origin_rail_UNWEIGHTED","avg_time_rail","car_perc","yj_idr_Kmeans_cluster","yj_DB_cluster","log_zscore_DB_cluster","log_zscore_kmeans_cluster","log_zscore_H_cluster","log_range_DB_cluster","log_range_H_cluster","log_range_kmeans_cluster","log_idr_DB_cluster","log_idr_kmeans_cluster","log_idr_H_cluster","yj_idr_DB_cluster","yj_idr_H_cluster","yj_H_cluster","yj_Kmeans_cluster","yj_Zscore_DB_cluster","yj_Zscore_H_cluster","yj_zscore_Kmeans_cluster"
"3515","E02003605",36,2,NA,89.1063274624918,14.5416774863672,0.129836406128278,4.15476499610491,1.86964424824721,0.129836406128278,0.701116593092703,1.8177096857959,5.97247468190081,0.597247468190081,97.4830205560199,11.4937201790882,216.223063383418,40.1460561060606,130.948156768088,86.5162266666667,70.0856920280447,1,2,1,1,1,0,2,1,0,1,2,0,1,1,1,0,2,1
"3516","E02003606",48,NA,NA,90.8735332464146,15.9585492227979,0.077720207253886,5.41450777202073,1.50259067357513,0.103626943005181,0.518134715025907,0.647668393782383,2.7720207253886,0.414507772020725,103.877462307499,14.8975614733549,215.273227870851,34.2091898818182,139.9378882333,43.7266065,72.5906735751295,1,0,0,1,1,0,2,1,0,1,2,0,1,0,2,0,2,1
"3517","E02003607",52,2,NA,89.5684481280366,14.5699756798585,0.11054609772275,4.97457439752377,1.03913331859385,0.154764536811851,0.641167366791952,0.884368781782003,4.57660844572187,0.397965951801901,98.4621573574783,13.8940543998275,218.680042482085,32.2823327613636,134.679528980864,50.1631976,72.6508954233915,1,2,1,1,1,0,2,1,0,1,2,0,1,1,1,0,2,1
"3518","E02003608",58,1,NA,89.8947829899167,10.6655574043261,0.0831946755407654,7.50415973377704,1.43094841930116,0.0332778702163062,0.86522462562396,1.39767054908486,3.64392678868552,0.349417637271215,105.974132261269,14.9155169081135,221.178130782905,22.3399146670588,126.91313850168,35.404151,74.026622296173,1,2,0,1,1,0,2,1,0,1,2,0,1,1,1,0,2,1
"3519","E02003609",39,NA,NA,90.0774806298425,12.3105360443623,0.055452865064695,4.15896487985213,1.1090573012939,0.11090573012939,0.591497227356747,2.43992606284658,9.18669131238447,0.240295748613678,104.825783992251,15.3518709167109,217.949883936467,28.5038582118644,148.504075744604,84.055685,69.7966728280961,1,0,0,1,1,0,2,1,0,1,2,0,1,0,2,0,0,1
"3520","E02003610",19,NA,NA,88.5367498314228,12.8267313392617,0.215575316626246,8.16491511721908,1.18566424144435,0.0538938291565616,0.511991376987335,0.916195095661547,8.54217192131501,0.242522231204527,100.061246019733,13.6329663816484,213.992104333537,22.7328872704545,137.312788055673,63.6163711166667,67.3403395311237,2,0,0,1,1,0,2,1,0,1,2,0,2,0,2,0,2,1
"3521","E02003611",24,NA,NA,92.9913510289293,14.9575440888308,0.195950359242325,4.76812540822992,1.19747441759199,0.174178097104289,0.67494012627912,2.54735467015023,6.77117352492924,0.239494883518398,105.3853830592,14.2396356178936,220.469227572489,25.1387975730769,131.301965564393,37.108130375,68.4737644241237,1,0,0,1,1,0,2,1,0,1,2,0,2,0,2,0,2,1
"3522","E02003612",39,NA,NA,91.6792357968828,11.5700934579439,0.186915887850467,8.72897196261682,0.841121495327103,0.0934579439252337,0.710280373831776,1.27102803738318,3.47663551401869,0.242990654205607,106.499407785711,14.8813241760137,224.459742135467,29.1621181904762,130.209223783905,50.50139,72.8785046728972,1,0,0,1,1,0,2,1,0,1,2,0,1,0,2,0,2,1
"3523","E02003613",26,NA,NA,85.5886049434437,10.1655629139073,0.198675496688742,11.1920529801325,0.993377483443709,0.231788079470199,0.562913907284768,1.09271523178808,7.8476821192053,0.231788079470199,100.429985893668,13.259858113455,215.088416586655,24.3247067964286,132.473451744924,47.7092773333333,67.4834437086093,2,0,0,1,1,0,2,1,0,1,2,0,2,0,2,0,2,1
"3524","E02003614",21,1,NA,90.2980132450331,8.83488530547354,0.363388598682716,11.7647058823529,0.772200772200772,0.0681353622530093,0.635930047694754,0.908471496706791,7.5857369975017,0.0908471496706791,100.708939017882,13.4421997993296,215.439501384127,35.5053874545455,131.305428053437,51.3600031333333,68.9756983874631,1,2,0,1,1,0,2,1,0,1,2,0,1,1,1,0,2,1
"3525","E02003615",31,1,NA,92.5239061141698,13.7439719421306,0.153441473038141,9.82025427444103,0.569925471284524,0.0219202104340202,0.460324419114424,0.635686102586585,3.77027619465147,0.263042525208242,101.156962249202,15.2659229110447,216.210595496404,31.6875710192308,132.2508494398,40.1129043333333,70.5611573871109,1,2,0,1,1,0,2,1,0,1,2,0,1,1,1,0,2,1
"3526","E02003616",40,NA,NA,93.010989010989,20.1474201474201,0.14040014040014,5.12460512460512,0.842400842400842,0.0351000351000351,0.526500526500526,1.12320112320112,5.08950508950509,0.456300456300456,113.812172284544,24.5561553888242,208.030329387724,24.5446589565217,138.19917153819,49.1014415,66.5145665145665,2,0,0,1,1,0,2,1,0,1,2,0,2,0,2,0,2,1
"3527","E02003617",56,NA,NA,91.5993537964459,18.4738955823293,0.133868808567604,4.64078536367693,1.45024542614904,0.0892458723784025,0.423917893797412,1.56180276662204,3.34672021419009,0.290049085229808,102.967435792015,14.9458653149694,207.790087333842,46.0326960333333,136.556430394667,65.23892575,69.5894689870593,1,0,0,1,1,0,2,1,0,1,2,0,1,0,2,0,2,1
"3528","E02003618",51,NA,NA,89.0372053393922,12.5636279500231,0.0925497454881999,4.46552521980565,3.239241092087,0.1850994909764,0.786672836649699,2.93845441925035,4.18787598334105,0.601573345673299,105.541901092265,13.0720036942763,210.487854979586,22.6799239473684,132.798943766658,60.588839,70.9393799167052,1,0,0,1,1,0,2,1,0,1,2,0,1,0,2,0,0,1
"3529","E02003619",63,NA,NA,91.3236381562731,15.5912924102765,0.117670131398313,4.2165130417729,2.19650911943518,0.235340262796627,0.431457148460482,1.31398313394783,2.56913120219651,0.372622082761326,106.54201803612,14.8818209614991,220.852184661853,28.2622908165138,138.284542356423,51.25146972,72.9554814669543,1,0,0,1,1,0,2,1,0,1,2,0,1,0,2,0,2,1
"3530","E02003620",44,NA,NA,82.9568201315413,9.14834470558504,0.176901693201921,4.85216072782411,4.85216072782411,0.227445034116755,0.581248420520596,4.16982562547384,6.46954763709881,0.404346727318676,105.909395515197,10.419886193222,214.536979649619,12.4059655884817,130.406352207935,50.2282422,69.1180187010361,1,0,0,0,1,0,0,2,0,2,0,0,1,0,2,0,0,0
"3531","E02003621",40,NA,NA,86.955205811138,9.43199583116206,0.0260552371026576,3.36112558624284,3.72589890568004,0.182386659718603,0.573215216258468,4.32516935904117,6.07087024491923,0.286607608129234,106.699512300712,11.0982242835743,217.638991240204,18.7394133057971,131.289783731714,NA,72.0166753517457,1,0,0,0,0,0,3,4,0,4,3,0,1,0,2,0,0,0
"3532","E02003622",62,NA,NA,72.1956406166932,7.05614567526555,0.101163378856854,2.78199291856348,7.7137076378351,0.65756196256955,0.556398583712696,4.8811330298432,8.62417804754679,0.252908447142135,105.315465258806,9.75919940696013,215.639881431719,16.9776302426117,132.980273346174,29.435571,67.3748103186646,2,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0
"3533","E02003623",55,NA,NA,92.572298325723,13.9888862043972,0.241604252234839,6.90988161391641,1.08721913505678,0.217443827011355,0.604010630587098,2.41604252234839,3.14085527905291,0.483208504469679,103.063024765699,11.8229490688847,212.46586463144,32.4902962380952,130.56289964916,53.9426511111111,70.9108480309254,1,0,0,1,1,0,2,1,0,1,2,0,1,0,2,0,2,1
"3534","E02003624",19,NA,NA,74.9786871270247,10.8789625360231,0.216138328530259,6.59221902017291,3.7463976945245,0.468299711815562,0.396253602305476,5.18731988472623,17.5792507204611,0.504322766570605,104.201594103571,12.696625285011,210.731259639786,29.9085923114583,129.247218410096,39.63897868,54.4308357348703,2,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0
"3535","E02003625",34,NA,NA,60.6368744982606,8.98467930407686,0.18177096857959,8.72500649182031,4.51830693326409,0.623214749415736,0.363541937159179,4.75201246429499,21.267203323812,0.415476499610491,103.982953193975,11.3674146336457,210.252065838494,22.9708506921687,128.619953336975,50.9151688571429,50.1687873279668,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
"3536","E02003626",37,NA,NA,83.8866755201417,7.6237976487353,0.0712504453152832,3.34877092981831,3.20627003918774,0.427502671891699,0.570003562522266,6.05628785179907,7.8731742073388,0.498753117206983,104.799064580312,10.02799995995,212.936594286447,13.2595616977012,134.696037002861,56.965744,70.3241895261845,1,0,0,0,1,0,0,2,0,2,0,0,1,0,0,0,0,0
"3537","E02003627",42,1,NA,64.4852941176471,10.8297872340426,0.234042553191489,7.59574468085106,5.63829787234043,0.553191489361702,0.127659574468085,5.80851063829787,20.7234042553191,0.404255319148936,103.82823880129,12.9424966083085,210.572539257644,23.6987831485714,126.972644444057,42.3891179781818,48.0851063829787,0,2,0,0,0,0,0,2,0,2,0,0,0,1,1,0,0,0
"3538","E02003628",38,NA,NA,67.511602998929,8.46245530393325,0.0297973778307509,6.40643623361144,5.78069129916567,1.19189511323004,0.32777115613826,3.81406436233611,18.057210965435,0.774731823599523,103.626960391315,10.700699479551,212.675665741606,30.0500223690476,127.544058712741,47.5677,55.1549463647199,2,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0
